,property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
92,flat,sector 79,1.35,3,3,2,Relatively New,1362.0,0,0,0,0,0,0,MODERATE,Mid Floor
93,house,sector 57,3.8,2,8,3+,Relatively New,1458.0,0,0,1,1,0,1,MODERATE,Mid Floor
94,house,sector 6,1.25,2,5,1,New Property,120.0,0,0,0,1,0,0,LOW,Low Floor
95,flat,sector 70a,2.4,3,3,3,Relatively New,1946.0,0,1,0,0,0,0,MODERATE,High Floor
96,flat,sector 112,5.6,4,6,3+,Relatively New,3655.35,0,1,0,0,0,1,HIGH,Mid Floor
97,flat,sector 99a,0.32,2,2,2,New Property,473.0,0,0,0,0,0,0,MODERATE,Low Floor
98,flat,sector 70,1.65,3,5,3,Relatively New,1527.0,0,1,0,1,0,0,HIGH,Mid Floor
99,house,sector 24,11.0,8,11,3+,Old Property,5000.0,1,1,0,1,1,1,LOW,Mid Floor
100,flat,sector 109,1.72,3,4,3+,Relatively New,1797.0,0,1,0,0,0,0,HIGH,Mid Floor
101,flat,sector 56,1.55,3,3,3+,Moderately Old,1900.0,0,1,0,1,0,1,MODERATE,Mid Floor
102,flat,sector 108,4.1,4,5,3,New Property,2343.0,1,1,0,0,0,2,MODERATE,High Floor
103,flat,sector 30,0.85,2,2,1,Old Property,734.0,0,0,0,0,1,1,LOW,Low Floor
104,flat,sector 92,0.56,3,1,3,Moderately Old,1316.0,0,0,0,0,0,1,MODERATE,Low Floor
105,flat,sector 50,2.65,3,3,3+,Moderately Old,2491.0,0,1,0,0,0,0,HIGH,Mid Floor
106,house,sector 73,17.0,5,8,3,Relatively New,9000.0,1,1,1,1,0,2,MODERATE,Mid Floor
107,flat,sector 81,2.35,3,4,3+,Relatively New,1558.0,0,1,0,0,0,0,MODERATE,High Floor
108,flat,sector 99a,1.13,3,5,3,Relatively New,1790.0,0,1,0,0,1,0,LOW,Mid Floor
109,flat,sector 82,3.0,4,6,3+,Relatively New,4425.0,0,1,0,1,0,1,MODERATE,High Floor
110,flat,sector 69,0.9,3,2,3,Relatively New,1473.0,0,0,0,1,0,0,MODERATE,Mid Floor
111,flat,sector 92,0.99,3,2,3,Relatively New,1091.0,0,0,0,0,0,0,LOW,Low Floor
112,flat,sector 99a,0.26,2,2,1,Relatively New,611.0,0,0,0,0,1,0,MODERATE,Mid Floor
113,flat,sector 104,2.6,4,4,3+,Relatively New,2851.0,0,1,0,0,0,0,MODERATE,High Floor
114,flat,sector 92,0.95,4,3,3,Moderately Old,1770.0,0,0,0,0,0,0,MODERATE,Mid Floor
115,house,sector 43,9.85,5,5,2,Old Property,3323.0,1,1,0,1,0,0,LOW,Mid Floor
116,flat,sector 81,0.6,2,2,1,Relatively New,1000.0,0,0,0,0,0,0,LOW,Low Floor
117,flat,sector 43,1.35,3,3,3,Old Property,1320.0,0,0,0,0,1,1,MODERATE,Low Floor
118,flat,sector 81,0.95,2,2,2,Relatively New,1150.0,0,0,0,0,0,1,HIGH,High Floor
119,flat,sector 67,3.32,4,5,3+,Moderately Old,2385.0,0,1,0,0,0,1,HIGH,High Floor
120,flat,sector 33,2.96,4,4,3,New Property,2371.0,0,1,0,0,0,1,LOW,Low Floor
121,flat,sector 79,1.2,3,3,3,Relatively New,1321.0,1,0,0,0,0,1,MODERATE,Mid Floor
122,flat,sector 102,1.98,3,3,3+,Relatively New,2222.0,0,1,0,0,0,1,MODERATE,Mid Floor
123,house,sector 105,9.9,2,2,2,Moderately Old,2000.0,0,0,0,0,0,0,LOW,Mid Floor
124,house,sector 40,2.1,3,3,2,Moderately Old,900.0,0,0,0,0,1,1,LOW,Mid Floor
125,flat,sector 39,1.5,4,3,3,Old Property,2611.0,0,1,0,0,0,2,LOW,Mid Floor
126,house,sector 47,5.25,9,9,3+,Relatively New,4650.0,0,1,0,0,0,1,MODERATE,Mid Floor
127,flat,sector 109,1.63,3,3,2,Relatively New,2303.0,0,1,0,0,0,0,HIGH,Mid Floor
128,house,sector 109,9.5,5,5,3+,Relatively New,3600.0,1,1,1,1,0,0,MODERATE,Low Floor
129,house,sector 92,0.85,4,4,3,Relatively New,1743.0,0,0,0,0,0,0,LOW,Mid Floor
130,house,sector 45,8.5,5,4,2,Moderately Old,3240.0,0,1,0,1,0,1,LOW,Low Floor
131,flat,sector 53,8.25,3,4,3,Relatively New,2661.0,0,1,0,0,0,2,LOW,Mid Floor
132,flat,sector 12,1.15,3,4,2,Old Property,2000.0,1,1,0,0,1,1,LOW,Low Floor
133,flat,sohna road,0.75,2,2,2,Moderately Old,1350.0,0,0,0,0,0,0,MODERATE,Mid Floor
134,house,sector 105,1.3,3,3,1,Moderately Old,1125.0,0,0,0,0,0,0,LOW,Low Floor
135,flat,sector 69,1.6,3,3,2,Relatively New,1428.0,0,0,0,1,0,0,HIGH,Low Floor
136,house,sector 26,18.0,5,4,3+,Moderately Old,4518.0,1,1,1,1,0,1,MODERATE,Mid Floor
137,flat,sector 36,0.72,3,2,3,Under Construction,978.0,0,0,0,0,0,0,LOW,Mid Floor
138,flat,sector 77,1.09,3,4,3+,Relatively New,1833.0,0,1,0,0,1,1,HIGH,Mid Floor
139,flat,sector 92,1.1,3,2,3,Relatively New,2350.0,0,0,0,0,0,0,LOW,Low Floor
140,flat,sector 85,2.1,4,4,3,Relatively New,2600.0,1,1,0,1,0,0,LOW,Mid Floor
141,house,sector 28,2.58,4,2,2,Relatively New,1458.0,0,0,0,0,0,0,LOW,Low Floor
142,flat,sector 76,3.35,3,4,3+,Relatively New,2111.0,0,1,0,0,0,2,HIGH,Mid Floor
143,flat,sector 54,7.0,4,6,3+,Moderately Old,2715.0,0,1,1,1,0,1,MODERATE,High Floor
144,flat,sector 37d,1.36,3,3,3,Relatively New,1535.0,0,0,0,1,1,0,LOW,Low Floor
145,house,sector 9,1.65,2,3,0,Old Property,900.0,0,0,0,0,0,0,LOW,Mid Floor
146,flat,sector 104,1.4,3,2,2,Relatively New,1120.0,0,0,0,0,0,0,LOW,Mid Floor
147,flat,sector 37d,0.68,2,2,3,New Property,644.0,0,0,0,0,1,0,MODERATE,Mid Floor
148,flat,sector 113,2.57,4,5,3+,New Property,2060.0,1,0,0,0,0,1,MODERATE,High Floor
149,flat,sector 79,1.7,3,2,3,Relatively New,1570.0,0,0,0,0,0,0,LOW,Mid Floor
150,house,sector 14,5.51,3,3,2,Moderately Old,3249.0,0,0,0,0,0,0,LOW,Mid Floor
151,flat,sector 81,1.15,3,2,3+,Relatively New,1463.0,1,0,0,0,0,1,MODERATE,Mid Floor
152,flat,sector 83,1.0,3,3,2,Relatively New,1575.0,0,0,1,0,0,1,HIGH,Low Floor
153,flat,sector 37c,1.44,3,3,3+,Relatively New,1789.0,1,1,0,0,1,0,LOW,Low Floor
154,house,sector 14,6.46,5,5,2,Moderately Old,3420.0,1,1,0,1,0,1,LOW,Mid Floor
155,flat,sector 113,1.65,3,2,2,Relatively New,1420.0,0,0,0,0,0,0,LOW,Mid Floor
156,flat,sector 88a,0.5,3,2,2,Relatively New,663.0,0,0,0,0,0,0,LOW,Low Floor
157,flat,sector 37d,1.78,4,3,3,Relatively New,1983.0,0,1,0,0,0,0,MODERATE,Mid Floor
158,house,sector 82,3.2,3,4,3,New Property,2160.0,1,1,1,1,0,0,MODERATE,Low Floor
159,flat,sector 108,3.35,3,4,2,New Property,2525.0,0,0,0,0,0,0,MODERATE,High Floor
160,flat,sector 65,2.29,3,4,3+,Relatively New,1833.0,1,1,0,0,0,2,HIGH,Low Floor
161,flat,sector 72,3.1,4,5,3+,Moderately Old,3374.0,1,1,1,1,0,0,MODERATE,Mid Floor
162,flat,sector 106,3.2,3,3,3+,Relatively New,2224.0,0,1,0,0,0,0,LOW,Mid Floor
163,house,sector 2,0.7,1,1,0,Moderately Old,900.0,0,0,0,0,0,0,LOW,Low Floor
164,flat,sector 85,1.99,3,4,3+,Relatively New,2398.0,0,1,0,0,0,1,HIGH,High Floor
165,house,sector 9,0.6,3,3,1,Relatively New,558.0,0,0,0,0,0,0,LOW,Low Floor
166,flat,sector 107,0.5,3,2,2,Relatively New,850.0,0,0,0,0,1,0,LOW,Mid Floor
167,flat,sector 95,0.55,2,2,3,Relatively New,990.0,0,0,0,0,0,0,LOW,High Floor
168,flat,sector 84,0.9,3,3,3,Relatively New,1833.0,0,1,0,1,0,0,MODERATE,High Floor
169,flat,sector 85,1.05,2,2,1,Relatively New,97.0,0,0,0,0,0,0,LOW,High Floor
170,flat,sector 86,0.95,3,2,1,New Property,1878.0,0,0,0,0,0,0,LOW,Mid Floor
171,flat,sector 85,1.17,2,3,3,Relatively New,1550.0,0,0,0,0,1,0,LOW,Mid Floor
172,flat,sector 59,3.9,3,1,0,New Property,2295.0,0,0,0,0,0,0,LOW,Low Floor
173,flat,sector 89,1.2,3,3,2,New Property,1423.0,0,0,0,0,0,0,LOW,Low Floor
174,flat,sector 85,1.83,3,4,3,Relatively New,1925.0,0,0,0,0,0,0,LOW,Mid Floor
175,house,sector 11,2.2,4,3,2,Old Property,1800.0,1,0,0,1,0,0,LOW,Low Floor
176,house,sector 12,3.71,3,3,1,Moderately Old,1872.0,0,0,0,1,0,0,LOW,Mid Floor
177,flat,sector 89,0.97,2,2,2,New Property,1371.0,1,0,0,0,0,0,LOW,Low Floor
178,flat,sector 102,2.5,3,4,3+,New Property,1945.0,1,1,0,0,0,1,MODERATE,High Floor
179,flat,manesar,0.9,3,3,3+,Moderately Old,1900.0,0,1,0,0,0,0,LOW,Mid Floor
180,house,sector 43,2.1,10,10,3+,New Property,549.0,0,1,0,0,0,0,LOW,Mid Floor
181,flat,sector 37d,0.6,2,2,3,New Property,625.0,0,0,0,0,0,0,LOW,Mid Floor
182,flat,sector 102,1.54,3,3,3,Relatively New,1315.0,0,1,0,0,0,0,MODERATE,High Floor
183,house,sector 43,5.3,3,9,3+,Moderately Old,1935.0,0,1,0,0,0,1,MODERATE,Mid Floor
184,flat,sector 62,9.14,4,6,3,Relatively New,3932.0,1,1,1,0,0,1,MODERATE,High Floor
185,flat,sohna road,0.71,2,2,3+,Relatively New,1131.0,1,0,0,0,0,0,LOW,Mid Floor
186,flat,sector 106,0.46,1,1,1,New Property,778.0,0,0,0,0,0,0,MODERATE,High Floor
187,flat,sector 104,1.05,3,4,3+,Relatively New,2000.0,0,1,0,0,0,1,MODERATE,Mid Floor
188,flat,sector 4,0.32,2,2,1,Relatively New,1056.0,0,0,0,0,0,1,LOW,Mid Floor
189,flat,sector 95,0.56,2,2,3,New Property,896.0,0,0,0,0,0,0,LOW,High Floor
190,flat,sector 79,1.33,2,2,3,Relatively New,1411.0,1,0,0,0,0,0,HIGH,Mid Floor
191,house,sector 81,4.35,4,4,3,Relatively New,5480.0,0,1,1,0,0,0,MODERATE,Low Floor
192,flat,sohna road,0.26,2,2,2,New Property,640.0,0,0,0,0,0,0,MODERATE,Mid Floor
193,flat,sector 67,4.55,4,4,3+,Relatively New,2833.0,0,1,0,0,0,1,HIGH,High Floor
194,flat,sector 85,2.15,4,5,3+,Relatively New,2545.0,0,1,0,0,0,0,HIGH,Low Floor
195,flat,sector 69,1.2,2,3,0,Relatively New,1100.0,0,0,0,0,0,0,MODERATE,Low Floor
